date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:30:44	150343/150343	---M--	200	added ('OK')	text/html	date:Tue,%2008%20Apr%202025%2011:00:44%20GMT	https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=	C:/Users/rohan/Documents/thyro/b2capi.thyrocare.com/Authenticityaf26.html	(from )
16:30:44	77/77	---M--	200	added ('OK')	text/plain	etag:%227fd4ac9ba841d71:0%22	https://b2capi.thyrocare.com/robots.txt		(from )
16:30:45	34053/34053	---M--	200	added ('OK')	text/css	etag:%22d77d29946840d01:0%22	https://b2capi.thyrocare.com/layout/formvalidation.css	C:/Users/rohan/Documents/thyro/b2capi.thyrocare.com/layout/formvalidation.css	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:30:45	296108/296108	---M--	200	added ('OK')	text/css	etag:%22a57f2c2382dd71:0%22	https://b2capi.thyrocare.com/layout/style.css	C:/Users/rohan/Documents/thyro/b2capi.thyrocare.com/layout/style.css	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:30:45	19888/19888	---M--	200	added ('OK')	text/css	etag:%22e7212b9a6840d01:0%22	https://b2capi.thyrocare.com/layout/plugins/prettyphoto/css/prettyPhoto.css	C:/Users/rohan/Documents/thyro/b2capi.thyrocare.com/layout/plugins/prettyphoto/css/prettyPhoto.css	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:30:45	17719/17719	---M--	200	added ('OK')	text/css	etag:%2257ed79986840d01:0%22	https://b2capi.thyrocare.com/Layout/plugins/AjaxDropDown/select2.css	C:/Users/rohan/Documents/thyro/b2capi.thyrocare.com/Layout/plugins/AjaxDropDown/select2.css	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:30:45	4910/4910	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Apr%202025%2011:00:45%20GMT	https://b2capi.thyrocare.com/Layout/js/scripts-jquery-1.9.1.js	C:/Users/rohan/Documents/thyro/b2capi.thyrocare.com/Layout/js/scripts-jquery-1.9.1.js	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:30:46	93870/93870	---M--	200	added ('OK')	application/javascript	etag:%222cda7087947d41:0%22	https://b2capi.thyrocare.com/layout/js/jquery.js	C:/Users/rohan/Documents/thyro/b2capi.thyrocare.com/layout/js/jquery.js	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:30:46	22068/22068	---M--	200	added ('OK')	application/javascript	etag:%2269e62790f79d41:0%22	https://b2capi.thyrocare.com/layout/plugins/prettyphoto/jquery.prettyPhoto.js	C:/Users/rohan/Documents/thyro/b2capi.thyrocare.com/layout/plugins/prettyphoto/jquery.prettyPhoto.js	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:30:46	14348/14348	---M--	200	added ('OK')	application/javascript	etag:%2289949851f79d41:0%22	https://b2capi.thyrocare.com/layout/plugins/tools/jquery.tools.min.js	C:/Users/rohan/Documents/thyro/b2capi.thyrocare.com/layout/plugins/tools/jquery.tools.min.js	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:30:46	2254/2254	---M--	200	added ('OK')	application/javascript	etag:%22c9a47c22f79d41:0%22	https://b2capi.thyrocare.com/layout/plugins/scrollto/jquery.scroll.to.min.js	C:/Users/rohan/Documents/thyro/b2capi.thyrocare.com/layout/plugins/scrollto/jquery.scroll.to.min.js	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:30:46	3856/3856	---M--	200	added ('OK')	application/javascript	etag:%222f10d3996840d01:0%22	https://b2capi.thyrocare.com/layout/plugins/html5.js	C:/Users/rohan/Documents/thyro/b2capi.thyrocare.com/layout/plugins/html5.js	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:30:47	15876/15876	---M--	200	added ('OK')	application/javascript	etag:%225f942e9b6840d01:0%22	https://b2capi.thyrocare.com/layout/plugins/sort/jquery.sort.min.js	C:/Users/rohan/Documents/thyro/b2capi.thyrocare.com/layout/plugins/sort/jquery.sort.min.js	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:30:50	113/113	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2008%20Apr%202025%2011:00:49%20GMT	http://cdn.rawgit.com/niklasvh/html2canvas/master/dist/html2canvas.min.js	C:/Users/rohan/Documents/thyro/cdn.rawgit.com/niklasvh/html2canvas/master/dist/html2canvas.min.f.delayed	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:30:51	82/82	---MCZ	404	error ('Not%20Found')	text/plain	etag:W/%2252-yRvP5SjKZDp/ReqgftJY8+LXMNU%22	https://cdn.jsdelivr.net/gh/niklasvh/html2canvas@master/dist/html2canvas.min.js	C:/Users/rohan/Documents/thyro/cdn.jsdelivr.net/gh/niklasvh/html2canvas@master/dist/html2canvas.min.10.delayed	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:30:57	89828/89828	---M--	200	added ('OK')	application/javascript	etag:%22a9335fcbf79d41:0%22	https://b2capi.thyrocare.com/Layout/plugins/AjaxDropDown/select2.js	C:/Users/rohan/Documents/thyro/b2capi.thyrocare.com/Layout/plugins/AjaxDropDown/select2.js	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:30:59	93636/93636	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	C:/Users/rohan/Documents/thyro/ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:30:59	574208/574208	---M--	200	added ('OK')	application/javascript	etag:%22e96f257f79d41:0%22	https://b2capi.thyrocare.com/layout/js/formvalidation.js	C:/Users/rohan/Documents/thyro/b2capi.thyrocare.com/layout/js/formvalidation.js	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:30:59	13460/13460	---M--	200	added ('OK')	application/javascript	etag:%2259dd6a7f79d41:0%22	https://b2capi.thyrocare.com/layout/js/main.js	C:/Users/rohan/Documents/thyro/b2capi.thyrocare.com/layout/js/main.js	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:30:59	4873/4873	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Apr%202025%2011:00:59%20GMT	https://b2capi.thyrocare.com/menu.asp?page=opppage	C:/Users/rohan/Documents/thyro/b2capi.thyrocare.com/menuccc6.asp	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:30:59	4878/4878	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Apr%202025%2011:00:59%20GMT	https://b2capi.thyrocare.com/footer_inner.html	C:/Users/rohan/Documents/thyro/b2capi.thyrocare.com/footer_inner.html	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:30:59	4877/4877	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Apr%202025%2011:00:59%20GMT	https://b2capi.thyrocare.com/menu.asp?page=servicepage	C:/Users/rohan/Documents/thyro/b2capi.thyrocare.com/menu3887.asp	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
16:31:02	37846/37846	---M--	200	added ('OK')	text/html	etag:%22b23c49b28051d71:0%22	https://b2capi.thyrocare.com/index.html	C:/Users/rohan/Documents/thyro/b2capi.thyrocare.com/index.html	(from https://b2capi.thyrocare.com/Authenticity.aspx?val=vABv6bUSmC3dJwpF2ziMoMD2yDwN0vJfape7in78Qog=)
